HCNH+ + CH2CHCN									

CHECKED	PP
REF_ALPHA	Petrie1992	Vuitton2007
REF_BR	Petrie1992	Vuitton2007
									
ALPHA	Logn	4.5e-9	1.6					
									
BR									
CH2CHCNH+ + HCN									
