O+ + C2H6									

CHECKED	PP
REF_ALPHA	Smith1992							
ALPHA	Logn	1.7e-9	1.2						

REF_BR	Smith1992									
BR	Dirg									
C2H5+ + OH	0.3/0.07									
C2H4+ + H2O	0.7/0.07									
