N2+ + E								

CHECKED	PP
								
ALPHA	Logn	2.2e-7	1.25					
REF_ALPHA 	Zipf1980	Kasner1967	Mehr1969	Mahdavi1971	Cunningham1972	GeoGhegan1991	Canosa1991	Peterson1998
								
BETA	Norm	0.35	0.05					
REF_BETA	Zipf1980	Kasner1967	Mehr1969	Mahdavi1971	Cunningham1972	Peterson1998		
								
REF_BR	Peterson1998	Kella1996						
								
BR	Dirg							
N4S + N2D	0.42/0.1							
N4S + N2P	0.09/0.09							
N2D + N2D	0.49/0.1							
