CH2CHCN+ + H2O		
			
CHECKED	PP		
REF_ALPHA	McEwan2007		
REF_BR	McEwan2007	
RQ	Neglects 1% of adduct	
			
ALPHA	Logn	2.1e-10	1.3
			
BR	Dirg	
CH3CHO+ + HCN	0.68/0.07			
C3H4NO+ + H	0.32/0.11
