CN+ + NH3									

CHECKED	PP
REF_ALPHA	Anicich2003							
REF_BR	Anicich2003	
									
ALPHA	Logn	0.2000E-08	1.2						
									
BR	Dirg								
NH2+ + HCN	0.05/0.05								
NH3+ + CN	0.60/0.06								
HCN+ + NH2	0.20/0.07								
HCNH+ + NH	0.15/0.05								
