C2H5+ + E					
	
CHECKED	PP
				
ALPHA	Logn	8.35e-7	1.3	
REF_ALPHA	Florescu2006	Lehfaoui1997	Gougousi1997	McLain2004
	
BETA	Nort	1.2	1.2	0.5	1.5
REF_BETA	Florescu2006	Lehfaoui1997	Gougousi1997	McLain2004

REF_BR		Geppert2004c
BR	Diri	Dirg			
C2H4 + H		0.12/0.03			
C2H3 + H + H		0.27/0.04			
C2H2 + H + H + H		0.13/0.03			
C2H2 + H2 + H		0.30/0.03			
CH3 + 1CH2	1/1	0.17/0.01			
CH3 + 3CH2	1 				
CH4 + CH		0.01/0.01			
