N2+ + C2H6									

CHECKED	PP
REF_ALPHA	Dutuit2013
REF_BR	Dutuit2013	
									
ALPHA	Logn	1.3e-9	1.3						
									
BR	Dirg								
C2H5+ + N2 + H	0.14/0.05								
C2H4+ + N2 + H2	0.27/0.09								
C2H3+ + N2 + H2 + H	0.32/0.11								
C2H2+ + N2 + H2 + H2	0.18/0.06								
CH3+ + N2 + CH3	0.08/0.08								
CH4+ + N2 + 1CH2	0.01/0.01								
