H2O+ + C2H6									

CHECKED	PP
REF_ALPHA	McEwan2007							
REF_BR	McEwan2007
									
ALPHA	Logn	1.6e-9	1.2						
									
BR	Dirg								
H3O+ + C2H5	0.83/0.08								
C2H4+ + H2 + H2O	0.12/0.04								
C2H5+ + H + H2O	0.01/0.01								
C2H6+ + H2O	0.04/0.04								
