H,C4H4,,iC4H5,,,,,7.100E-25,-9.190E+00,-1.010E+02,3.000E+00,0.100E+02,2.900E-12,0.860E+00,0.604E+02,0.300E+01,0.100E+02,0.000E+00,0.000E+00,0.000E+00,3.000E+01,0.000E+00,,Wang and Frenklach 1994
H,C4H6,,C4H7,,,,,1.400E-24,-2.480E+00,1.910E+02,4.000E+00,1.000E+02,7.900E-12,0.000E+00,0.000E+00,1.400E+00,1.000E+02,0.000E+00,0.000E+00,0.000E+00,3.000E+01,0.000E+00,,"k0 = 10*k0(H+C3H4), k_inf from Oka and Cvetanovic 1979"
H,C4H8,,C4H9,,,,,1.400E-25,-2.480E+00,1.910E+02,1.000E+01,1.000E+02,3.970E-11,0.000E+00,1.060E+03,1.400E+00,1.000E+02,0.000E+00,0.000E+00,0.000E+00,3.000E+01,0.000E+00,,"Harris and Pitts 1982, Kyogoku et al. 1983, This work"
H,C6H,,C6H2,,,,,0.264E-25,-0.310E+01,0.721E+03,0.200E+01,0.100E+03,0.300E-09,0.000E+00,0.000E+00,0.200E+01,0.100E+03,0.000E+00,0.000E+00,0.000E+00,3.000E+01,0.000E+00,,Kiefer and von Drasek [1990]
H,C6H2,,C6H3,,,,,3.000E-24,-2.930E+00,1.760E+02,1.000E+01,0.000E+00,1.600E-12,5.550E+00,-1.530E+02,2.000E+00,0.000E+00,5.600E-12,2.750E+00,5.030E+01,3.000E+01,0.000E+00,,"k0 = 10* k0( H + C4H2), k_inf = k_inf(H + C4H2)"
H,C6H4,,C6H5,,,,,5.170E-13,-1.8400E+01,6.690E+03,2.000E+00,1.000E+02,5.960E-11,1.110E+00,7.050E+02,2.000E+00,1.000E+02,0.000E+00,0.000E+00,0.000E+00,3.000E+01,0.000E+00,,"(Wang & Frenklach 1994) - (Madden et al. 1997) found no barrier for this reaction at B3LYP/6-31G level, M06-2X-ccpVTZ leads to k¥ = 2e-9exp(-320/T)
"
H,C6H5,,C6H6,,,,,4.000E-18,-2.540E+00,1.220E+02,1.000E+01,0.000E+00,1.400E-10,0.000E+00,-1.400E+01,2.000E+00,0.000E+00,1.400E-10,0.000E+00,-1.400E+01,3.000E+01,0.000E+00,,Vuitton et al. 2012
H,C6H6,,C6H7,,,,,5.020E-29,0.000E+00,2.330E+03,2.000E+00,0.400E+03,2.800E-11,1.450E+00,0.196E+04,0.200E+01,0.100E+03,0.000E+00,0.000E+00,0.000E+00,3.000E+01,0.000E+00,,"Wang and Frenklach 1994, Gordon et al. 1978"
C,H2,,3CH2,,,,,0.700E-31,-1.500E+00,0.000E+00,0.200E+01,0.100E+03,0.206E-10,0.000E+00,0.570E+02,0.300E+01,0.100E+03,0.000E+00,0.000E+00,0.000E+00,3.000E+01,0.000E+00,,"Husain & Young [1975], Harding et al. [1993]"
CH,H2,,CH3,,,,,6.200E-30,-0.160E+01,0.000E+00,0.140E+01,0.100E+03,0.160E-09,-0.800E-01,0.000E+00,0.140E+01,0.210E+02,0.000E+00,0.000E+00,0.000E+00,3.000E+01,0.000E+00,,"Brownsword et al. [1997], Fulle & Hippler [1997]"
