C2H5,CH3,,C3H8     ,,,,,2.86e-9,-0.61,44,2,0,4.31e-12,-4.75,96,2,0,3.62e-2,-4.25,189,2,0,0.95,Vuitton2019
CH3,CH3,,C2H6      ,,,,,3.84e-10,-0.29,28,2,0,5.53e-17,-3.79,64,2,0,3.20e-6,-3.25,74,2,0,0.37,Vuitton2019
CH3CO,CH3,,CH3COCH3,,,,,6.97e-11,0,0,2,0,1.00e-30,0,0,2,0,2.0e-11,0,0,2,0,0.40,Vuitton2019
