CH2CHCN+ + HCN	
			
CHECKED	PP		
REF_ALPHA	McEwan2007		
REF_BR	McEwan2007	
			
ALPHA	Logn	1.9e-10	1.3
			
BR	Dirg	
C4HN2+ + H2 + H	0.09/0.09			
C4H2N2+ + H2	0.38/0.13			
CxHyNz+ + CxHyNz	0.20/0.07
