C4H+ + HCN									

CHECKED	PP
REF_ALPHA	Anicich2003							
REF_BR	Anicich2003				
						
ALPHA	Logn	1.35e-9	1.3							
									
BR	Dirg									
C4H2+ + CN	0.07/0.07
HC5N+ + H	0.91/0.09
HC5NH+ + HV	0.03/0.03									
