CH4+ + H2CO								

CHECKED	PP

REF_ALPHA	Anicich1993							
ALPHA	Logn	3.6e-9	1.2						

REF_BR	Anicich1993
BR	Dirg							
H2CO+ + CH4	0.45/0.05
CH2OH+ + CH3	0.55/0.05									
