CO+ + C3H8									

CHECKED	PP
REF_ALPHA	McEwan2007							
REF_BR	McEwan2007
									
ALPHA	Logn	1.0e-9	1.3						
									
BR	Dirg									
C3H7+ + HCO	0.13/0.04		
C3H6+ + H2CO	0.03/0.03			
C2H5+ + CO + CH3	0.66/0.07									
C2H4+ + CO + CH4	0.18/0.06
