ArH+ + C3H6										

CHECKED	PP								
									
ALPHA	Logn	1.2e-09	1.2		
REF_ALPHA	Anicich2003						
															
REF_BR	Anicich2003	Smith1976						
BR	Dirg									
C2H3+ + Ar + CH4	0.60/0.05				
C3H5+ + Ar + H2	0.40/0.05				
