 Lambda  Total   C2H2+    C2H+H    C2/H2    C2H/H    C2H2**  
 1114.0 1.06E-17 0.00E+00 0.00E+00 1.06E-18 3.18E-18 6.36E-18
 1116.0 1.86E-17 0.00E+00 0.00E+00 1.86E-18 5.58E-18 1.12E-17
 1120.0 5.08E-17 0.00E+00 0.00E+00 5.08E-18 1.52E-17 3.05E-17
 1122.0 7.96E-18 0.00E+00 0.00E+00 7.96E-19 2.39E-18 4.78E-18
 1126.0 4.37E-17 0.00E+00 0.00E+00 4.37E-18 1.31E-17 2.62E-17
 1129.0 1.18E-17 0.00E+00 0.00E+00 1.18E-18 3.54E-18 7.08E-18
 1132.0 9.24E-17 0.00E+00 0.00E+00 9.24E-18 2.77E-17 5.54E-17
 1136.0 5.77E-18 0.00E+00 0.00E+00 5.77E-19 1.73E-18 3.46E-18
 1142.0 3.55E-17 0.00E+00 0.00E+00 3.55E-18 1.06E-17 2.13E-17
 1145.0 4.52E-18 0.00E+00 0.00E+00 4.52E-19 1.36E-18 2.71E-18
 1149.0 1.78E-17 0.00E+00 0.00E+00 1.78E-18 5.34E-18 1.07E-17
 1152.0 1.50E-17 0.00E+00 0.00E+00 1.50E-18 4.50E-18 9.00E-18
 1156.0 1.06E-16 0.00E+00 0.00E+00 1.06E-17 3.18E-17 6.36E-17
 1159.0 1.14E-17 0.00E+00 0.00E+00 1.14E-18 3.42E-18 6.84E-18
 1162.0 8.82E-18 0.00E+00 0.00E+00 8.82E-19 2.65E-18 5.29E-18
 1165.0 3.03E-18 0.00E+00 0.00E+00 3.03E-19 9.09E-19 1.82E-18
 1167.0 1.10E-17 0.00E+00 0.00E+00 1.10E-18 3.30E-18 6.60E-18
 1169.0 9.34E-18 0.00E+00 0.00E+00 9.34E-19 2.80E-18 5.60E-18
 1171.0 7.34E-17 0.00E+00 0.00E+00 7.34E-18 2.20E-17 4.40E-17
 1174.0 1.76E-17 0.00E+00 0.00E+00 1.76E-18 5.28E-18 1.06E-17
 1177.0 1.58E-17 0.00E+00 0.00E+00 1.58E-18 4.74E-18 9.48E-18
 1179.0 1.10E-16 0.00E+00 0.00E+00 1.10E-17 3.30E-17 6.60E-17
 1184.0 4.97E-18 0.00E+00 0.00E+00 4.97E-19 1.49E-18 2.98E-18
 1192.0 2.46E-17 0.00E+00 0.00E+00 2.46E-18 7.38E-18 1.48E-17
 1198.0 9.45E-18 0.00E+00 0.00E+00 9.45E-19 2.83E-18 5.67E-18
 1204.0 1.82E-16 0.00E+00 0.00E+00 1.82E-17 5.46E-17 1.09E-16
 1211.0 3.13E-18 0.00E+00 0.00E+00 3.13E-19 9.39E-19 1.88E-18
 1216.0 6.18E-17 0.00E+00 0.00E+00 6.18E-18 1.85E-17 3.71E-17
 1219.0 1.70E-17 0.00E+00 0.00E+00 1.70E-18 5.10E-18 1.02E-17
 1221.0 5.44E-17 0.00E+00 0.00E+00 5.44E-18 1.63E-17 3.26E-17
 1224.0 4.75E-18 0.00E+00 0.00E+00 4.75E-19 1.42E-18 2.85E-18
 1231.0 9.25E-18 0.00E+00 0.00E+00 9.25E-19 2.77E-18 5.55E-18
 1236.0 4.28E-18 0.00E+00 0.00E+00 4.28E-19 1.28E-18 2.57E-18
 1244.0 1.28E-16 0.00E+00 0.00E+00 1.28E-17 3.84E-17 7.68E-17
 1247.0 3.20E-17 0.00E+00 0.00E+00 3.20E-18 9.60E-18 1.92E-17
 1249.0 1.62E-16 0.00E+00 0.00E+00 1.62E-17 4.86E-17 9.72E-17
 1252.0 1.43E-17 0.00E+00 0.00E+00 1.43E-18 4.29E-18 8.58E-18
 1256.0 3.10E-17 0.00E+00 0.00E+00 3.10E-18 9.30E-18 1.86E-17
 1258.0 1.80E-17 0.00E+00 0.00E+00 1.80E-18 5.40E-18 1.08E-17
 1263.0 1.74E-17 0.00E+00 0.00E+00 1.74E-18 5.22E-18 1.04E-17
 1266.0 1.26E-17 0.00E+00 0.00E+00 1.26E-18 3.78E-18 7.56E-18
 1270.0 2.64E-17 0.00E+00 0.00E+00 2.64E-18 7.92E-18 1.58E-17
 1276.0 2.99E-17 0.00E+00 0.00E+00 2.99E-18 8.97E-18 1.79E-17
 1284.0 8.72E-17 0.00E+00 0.00E+00 8.72E-18 2.62E-17 5.23E-17
 1287.0 3.20E-17 0.00E+00 0.00E+00 3.20E-18 9.60E-18 1.92E-17
 1289.0 5.14E-17 0.00E+00 0.00E+00 5.14E-18 1.54E-17 3.08E-17
 1294.0 3.13E-17 0.00E+00 0.00E+00 3.13E-18 9.39E-18 1.88E-17
 1298.0 4.79E-17 0.00E+00 0.00E+00 4.79E-18 1.44E-17 2.87E-17
 1301.0 3.85E-17 0.00E+00 0.00E+00 3.85E-18 1.15E-17 2.31E-17
 1308.0 2.92E-16 0.00E+00 0.00E+00 2.92E-17 8.76E-17 1.75E-16
 1310.0 1.43E-16 0.00E+00 0.00E+00 1.43E-17 4.29E-17 8.58E-17
 1318.0 3.17E-17 0.00E+00 0.00E+00 3.17E-18 9.51E-18 1.90E-17
 1320.0 9.24E-17 0.00E+00 0.00E+00 9.24E-18 2.77E-17 5.54E-17
 1324.0 6.39E-17 0.00E+00 0.00E+00 6.39E-18 1.92E-17 3.83E-17
 1328.0 3.81E-17 0.00E+00 0.00E+00 3.81E-18 1.14E-17 2.29E-17
 1330.0 7.43E-17 0.00E+00 0.00E+00 7.43E-18 2.23E-17 4.46E-17
 1333.0 4.32E-17 0.00E+00 0.00E+00 4.32E-18 1.30E-17 2.59E-17
 1338.0 3.90E-16 0.00E+00 0.00E+00 3.90E-17 1.17E-16 2.34E-16
 1340.0 1.20E-16 0.00E+00 0.00E+00 1.20E-17 3.60E-17 7.20E-17
 1348.0 1.34E-17 0.00E+00 0.00E+00 1.34E-18 4.02E-18 8.04E-18
 1352.0 4.13E-17 0.00E+00 0.00E+00 4.13E-18 1.24E-17 2.48E-17
 1359.0 6.14E-18 0.00E+00 0.00E+00 6.14E-19 1.84E-18 3.68E-18
 1362.0 2.09E-17 0.00E+00 0.00E+00 2.09E-18 6.27E-18 1.25E-17
 1366.0 5.69E-18 0.00E+00 0.00E+00 5.69E-19 1.71E-18 3.41E-18
 1374.0 3.98E-18 0.00E+00 0.00E+00 3.98E-19 1.19E-18 2.39E-18
 1378.0 4.28E-18 0.00E+00 0.00E+00 4.28E-19 1.28E-18 2.57E-18
 1388.0 2.82E-18 0.00E+00 0.00E+00 2.82E-19 8.46E-19 1.69E-18
 1397.0 2.82E-18 0.00E+00 0.00E+00 2.82E-19 8.46E-19 1.69E-18
 1402.0 6.48E-18 0.00E+00 0.00E+00 6.48E-19 1.94E-18 3.89E-18
 1409.0 2.73E-18 0.00E+00 0.00E+00 2.73E-19 8.19E-19 1.64E-18
 1428.0 3.32E-18 0.00E+00 0.00E+00 3.32E-19 9.96E-19 1.99E-18
 1438.0 2.02E-17 0.00E+00 0.00E+00 2.02E-18 6.06E-18 1.21E-17
 1444.0 7.02E-18 0.00E+00 0.00E+00 7.02E-19 2.11E-18 4.21E-18
 1461.0 5.90E-18 0.00E+00 0.00E+00 5.90E-19 1.77E-18 3.54E-18
 1478.0 6.11E-17 0.00E+00 0.00E+00 6.11E-18 1.80E-17 3.70E-17
 1488.0 1.41E-17 0.00E+00 0.00E+00 1.41E-18 4.07E-18 8.62E-18
 1504.0 9.68E-18 0.00E+00 0.00E+00 9.68E-19 2.70E-18 6.02E-18
 1520.0 4.22E-16 0.00E+00 0.00E+00 4.22E-17 1.13E-16 2.67E-16
 1529.0 3.51E-18 0.00E+00 0.00E+00 3.51E-19 9.22E-19 2.24E-18
 1550.0 5.38E-19 0.00E+00 0.00E+00 5.38E-20 1.34E-19 3.50E-19
 1551.0 5.58E-19 0.00E+00 0.00E+00 5.58E-20 1.39E-19 3.63E-19
 1563.0 4.95E-19 0.00E+00 0.00E+00 4.95E-20 1.19E-19 3.26E-19
 1576.0 6.18E-19 0.00E+00 0.00E+00 6.18E-20 1.44E-19 4.12E-19
 1582.0 5.32E-19 0.00E+00 0.00E+00 5.32E-20 1.22E-19 3.57E-19
 1591.0 7.14E-19 0.00E+00 0.00E+00 7.14E-20 1.59E-19 4.83E-19
 1598.0 5.62E-19 0.00E+00 0.00E+00 5.62E-20 1.23E-19 3.83E-19
 1608.0 8.56E-19 0.00E+00 0.00E+00 8.56E-20 1.82E-19 5.88E-19
 1616.0 7.26E-19 0.00E+00 0.00E+00 7.26E-20 1.51E-19 5.03E-19
 1630.0 9.97E-19 0.00E+00 0.00E+00 9.97E-20 1.98E-19 6.99E-19
 1638.0 7.52E-19 0.00E+00 0.00E+00 7.52E-20 1.46E-19 5.31E-19
 1650.0 1.17E-18 0.00E+00 0.00E+00 1.17E-19 2.18E-19 8.35E-19
 1657.0 8.97E-19 0.00E+00 0.00E+00 8.97E-20 1.63E-19 6.44E-19
 1668.0 1.47E-18 0.00E+00 0.00E+00 1.47E-19 2.57E-19 1.07E-18
 1678.0 9.38E-19 0.00E+00 0.00E+00 9.38E-20 1.58E-19 6.86E-19
 1686.0 1.76E-18 0.00E+00 0.00E+00 1.76E-19 2.87E-19 1.30E-18
 1694.0 9.01E-19 0.00E+00 0.00E+00 9.01E-20 1.42E-19 6.68E-19
 1700.0 9.79E-19 0.00E+00 0.00E+00 9.79E-20 1.51E-19 7.30E-19
 1707.0 1.72E-18 0.00E+00 0.00E+00 1.72E-19 2.58E-19 1.29E-18
 1714.0 1.18E-18 0.00E+00 0.00E+00 1.18E-19 1.72E-19 8.90E-19
 1720.0 8.86E-19 0.00E+00 0.00E+00 8.86E-20 1.26E-19 6.72E-19
 1728.0 1.68E-18 0.00E+00 0.00E+00 1.68E-19 2.30E-19 1.28E-18
 1741.0 8.23E-19 0.00E+00 0.00E+00 8.23E-20 1.06E-19 6.35E-19
 1749.0 1.42E-18 0.00E+00 0.00E+00 1.42E-19 1.75E-19 1.10E-18
 1755.0 1.64E-18 0.00E+00 0.00E+00 1.64E-19 1.96E-19 1.28E-18
 1765.0 8.00E-19 0.00E+00 0.00E+00 8.00E-20 9.06E-20 6.29E-19
 1771.0 1.21E-18 0.00E+00 0.00E+00 1.21E-19 1.32E-19 9.57E-19
 1776.0 1.48E-18 0.00E+00 0.00E+00 1.48E-19 1.57E-19 1.17E-18
 1785.0 7.03E-19 0.00E+00 0.00E+00 7.03E-20 7.07E-20 5.62E-19
 1789.0 7.85E-19 0.00E+00 0.00E+00 7.85E-20 7.69E-20 6.30E-19
 1793.0 7.11E-19 0.00E+00 0.00E+00 7.11E-20 6.79E-20 5.72E-19
 1802.0 1.14E-18 0.00E+00 0.00E+00 1.14E-19 1.02E-19 9.24E-19
 1811.0 4.32E-19 0.00E+00 0.00E+00 4.32E-20 3.63E-20 3.52E-19
 1824.0 8.23E-19 0.00E+00 0.00E+00 8.23E-20 6.24E-20 6.78E-19
 1828.0 4.06E-19 0.00E+00 0.00E+00 4.06E-20 2.98E-20 3.36E-19
 1836.0 5.51E-19 0.00E+00 0.00E+00 5.51E-20 3.76E-20 4.58E-19
 1838.0 3.23E-19 0.00E+00 0.00E+00 3.23E-20 2.16E-20 2.69E-19
 1844.0 3.64E-19 0.00E+00 0.00E+00 3.64E-20 2.30E-20 3.05E-19
 1846.0 7.37E-19 0.00E+00 0.00E+00 7.37E-20 4.56E-20 6.18E-19
