C+ + E	

CHECKED	PP				
					
ALPHA	Logn	4.67e-12	1.5	
REF_ALPHA	Woodall2007	Nahar1997
	
BETA	Nort	0.6	0.3	0.5	1.5
REF_BETA	Woodall2007
		
BR					
C + HV					
