  118.0  2.02449e-17  1.95132e-17  1.88148e-17  1.89358e-17
  119.0  1.98910e-17  1.94576e-17  1.90420e-17  1.91836e-17
  120.0  2.28823e-17  2.33448e-17  2.10430e-17  2.03161e-17
  121.0  2.23442e-17  2.16819e-17  2.12532e-17  2.11295e-17
  122.0  2.70298e-17  2.50637e-17  2.88946e-17  2.94981e-17
  123.0  2.54289e-17  2.45734e-17  2.32757e-17  2.27932e-17
  124.0  3.57782e-17  3.65245e-17  3.35510e-17  3.03099e-17
  125.0  2.65751e-17  2.62665e-17  2.54653e-17  2.45464e-17
  126.0  2.81793e-17  2.74039e-17  2.75113e-17  2.64372e-17
  127.0  2.94124e-17  2.88130e-17  2.87084e-17  2.68198e-17
  128.0  2.82197e-17  2.76949e-17  2.77409e-17  2.70147e-17
  129.0  2.14578e-17  2.11755e-17  2.02920e-17  1.83421e-17
  130.0  1.32350e-17  1.30850e-17  1.28132e-17  1.26036e-17
  131.0  1.21771e-17  1.18406e-17  1.16519e-17  1.11790e-17
  132.0  1.70235e-17  1.64298e-17  1.59156e-17  1.48532e-17
  133.0  1.72596e-17  1.66943e-17  1.62578e-17  1.54260e-17
  134.0  2.24906e-17  2.17390e-17  2.12382e-17  2.01162e-17
  135.0  1.21923e-17  1.21689e-17  1.20442e-17  1.14615e-17
  136.0  2.92892e-17  2.87160e-17  2.95351e-17  2.80710e-17
  137.0  2.61949e-17  2.60974e-17  2.37102e-17  2.01377e-17
  138.0  2.33759e-17  2.07579e-17  2.03977e-17  2.31660e-17
  139.0  3.04369e-17  2.89011e-17  2.69838e-17  2.67334e-17
  140.0  6.24450e-18  6.21826e-18  5.95616e-18  5.77788e-18
  141.0  8.00412e-18  7.79123e-18  7.88878e-18  7.98638e-18
  142.0  5.92907e-18  5.67216e-18  5.63518e-18  5.53878e-18
  143.0  8.31840e-18  8.12861e-18  8.28440e-18  7.93597e-18
  144.0  1.32556e-17  1.37360e-17  1.35518e-17  1.23226e-17
  145.0  1.07591e-17  1.04153e-17  1.02971e-17  1.00005e-17
  146.0  1.35248e-17  1.31468e-17  1.28994e-17  1.24187e-17
  147.0  1.54433e-17  1.50113e-17  1.47886e-17  1.43422e-17
  148.0  1.64741e-17  1.59867e-17  1.57969e-17  1.53146e-17
  149.0  1.92931e-17  1.88408e-17  1.85454e-17  1.76930e-17
  150.0  2.15100e-17  2.08419e-17  2.04478e-17  1.95883e-17
  151.0  2.01900e-17  1.95286e-17  1.92902e-17  1.85460e-17
  152.0  2.29708e-17  2.22503e-17  2.17789e-17  2.08179e-17
  153.0  2.34799e-17  2.28743e-17  2.22073e-17  2.15178e-17
  154.0  2.32740e-17  2.27063e-17  2.20528e-17  2.12801e-17
  155.0  2.64685e-17  2.57995e-17  2.50403e-17  2.40906e-17
  156.0  2.67323e-17  2.60660e-17  2.52550e-17  2.41866e-17
  157.0  2.99480e-17  2.92716e-17  2.84445e-17  2.67270e-17
  158.0  3.07071e-17  2.97138e-17  2.85196e-17  2.72691e-17
  159.0  3.24574e-17  3.17032e-17  3.11007e-17  2.93561e-17
  160.0  3.87211e-17  3.75398e-17  3.59913e-17  3.38536e-17
  161.0  3.26431e-17  3.18239e-17  3.10310e-17  2.95745e-17
  162.0  4.15834e-17  4.08924e-17  3.99330e-17  3.73148e-17
  163.0  4.34051e-17  4.20131e-17  4.04085e-17  3.81431e-17
  164.0  3.51575e-17  3.45725e-17  3.45796e-17  3.25681e-17
  165.0  4.16760e-17  4.00013e-17  3.89348e-17  3.82170e-17
  166.0  3.32847e-17  3.27600e-17  3.35439e-17  3.26023e-17
  167.0  4.57173e-17  4.35142e-17  4.14820e-17  4.01437e-17
  168.0  2.41045e-17  2.20720e-17  2.21083e-17  2.22174e-17
  169.0  6.25445e-17  5.95361e-17  5.15508e-17  4.88603e-17
  170.0  3.57471e-17  3.43106e-17  3.38810e-17  3.40398e-17
  171.0  2.52294e-17  2.46419e-17  2.51702e-17  2.45854e-17
  172.0  1.22001e-17  1.12786e-17  1.16847e-17  1.19081e-17
  173.0  5.14580e-17  4.95469e-17  4.25048e-17  3.92167e-17
  174.0  1.83703e-17  1.84553e-17  1.96905e-17  1.98460e-17
  175.0  8.05594e-18  8.43632e-18  1.11504e-17  1.15836e-17
  176.0  3.91715e-18  4.06611e-18  4.59628e-18  4.40861e-18
  177.0  2.37140e-18  2.42379e-18  3.01939e-18  3.28560e-18
  178.0  2.94943e-18  3.00383e-18  3.16987e-18  3.00835e-18
  179.0  1.39991e-18  1.41545e-18  1.68019e-18  1.71984e-18
  180.0  1.60393e-18  1.57888e-18  1.62413e-18  1.57884e-18
  181.0  6.13074e-19  6.40835e-19  8.74015e-19  9.18810e-19
  182.0  6.15952e-19  6.13503e-19  7.28460e-19  7.54061e-19
  183.0  5.33976e-19  5.73130e-19  6.83875e-19  6.36779e-19
  184.0  1.97077e-19  2.04517e-19  2.86936e-19  3.20799e-19
  185.0  3.30270e-19  2.98901e-19  3.00765e-19  3.22275e-19
  186.0  1.22414e-19  1.44108e-19  2.18901e-19  2.33764e-19
  187.0  8.01449e-20  8.25052e-20  1.10294e-19  1.23421e-19
  188.0  1.42901e-19  1.34398e-19  1.36228e-19  1.40803e-19
  189.0  3.41379e-20  4.11343e-20  7.50823e-20  9.05261e-20
  190.0  3.72002e-20  3.86172e-20  4.64459e-20  5.59232e-20
  191.0  4.11102e-20  4.52875e-20  5.17253e-20  5.42166e-20
  192.0  1.00394e-20  1.35818e-20  2.60531e-20  3.36235e-20
