 Lambda  Total   H/CN(*)  HCN+    
 1373.5 2.49E-18 2.49E-18 0.00E+00
 1377.8 1.15E-18 1.15E-18 0.00E+00
 1380.5 2.64E-18 2.64E-18 0.00E+00
 1382.1 2.54E-17 2.54E-17 0.00E+00
 1387.5 1.68E-18 1.68E-18 0.00E+00
 1392.0 8.79E-19 8.79E-19 0.00E+00
 1396.9 3.10E-18 3.10E-18 0.00E+00
 1397.2 2.86E-17 2.86E-17 0.00E+00
 1400.0 4.28E-18 4.28E-18 0.00E+00
 1408.0 7.27E-19 7.27E-19 0.00E+00
 1411.5 1.26E-18 1.26E-18 0.00E+00
 1412.4 2.53E-17 2.53E-17 0.00E+00
 1416.6 2.41E-18 2.41E-18 0.00E+00
 1420.0 2.60E-18 2.60E-18 0.00E+00
 1426.3 6.51E-19 6.51E-19 0.00E+00
 1428.7 2.14E-18 2.14E-18 0.00E+00
 1429.0 1.51E-17 1.51E-17 0.00E+00
 1433.9 1.80E-18 1.80E-18 0.00E+00
 1444.3 8.43E-19 8.43E-19 0.00E+00
 1446.8 1.30E-18 1.30E-18 0.00E+00
 1447.7 1.12E-17 1.12E-17 0.00E+00
 1450.5 1.53E-18 1.53E-18 0.00E+00
 1463.0 5.35E-19 5.35E-19 0.00E+00
 1464.8 1.22E-18 1.22E-18 0.00E+00
 1466.0 5.93E-18 5.93E-18 0.00E+00
 1468.1 1.65E-18 1.65E-18 0.00E+00
 1470.7 8.43E-19 8.43E-19 0.00E+00
 1483.0 5.76E-19 5.76E-19 0.00E+00
 1484.5 3.71E-18 3.71E-18 0.00E+00
 1486.0 7.63E-19 7.63E-19 0.00E+00
 1502.3 6.87E-19 6.87E-19 0.00E+00
 1503.1 1.87E-18 1.87E-18 0.00E+00
 1505.6 4.21E-19 4.21E-19 0.00E+00
 1522.7 4.95E-19 4.95E-19 0.00E+00
 1524.0 7.63E-19 7.63E-19 0.00E+00
 1525.4 4.60E-19 4.60E-19 0.00E+00
 1550.0 3.82E-19 3.82E-19 0.00E+00
 1561.0 2.53E-19 2.53E-19 0.00E+00
 1564.5 2.65E-19 2.65E-19 0.00E+00
 1567.5 2.10E-19 2.10E-19 0.00E+00
 1575.5 2.90E-19 2.90E-19 0.00E+00
 1587.0 1.71E-19 1.71E-19 0.00E+00
 1592.0 2.65E-19 2.65E-19 0.00E+00
 1607.0 1.39E-19 1.39E-19 0.00E+00
 1613.5 2.65E-19 2.65E-19 0.00E+00
 1625.0 1.05E-19 1.05E-19 0.00E+00
 1632.5 2.36E-19 2.36E-19 0.00E+00
 1645.0 6.34E-20 6.34E-20 0.00E+00
 1652.5 2.01E-19 2.01E-19 0.00E+00
 1666.0 4.60E-20 4.60E-20 0.00E+00
 1670.5 1.96E-19 1.96E-19 0.00E+00
 1673.0 1.45E-19 1.45E-19 0.00E+00
 1676.0 1.42E-19 1.42E-19 0.00E+00
 1684.0 4.28E-20 4.28E-20 0.00E+00
 1684.5 5.04E-20 5.04E-20 0.00E+00
 1688.0 3.11E-20 3.11E-20 0.00E+00
 1690.5 1.03E-19 1.03E-19 0.00E+00
 1691.5 9.19E-20 9.19E-20 0.00E+00
 1693.5 1.71E-19 1.71E-19 0.00E+00
 1708.0 1.59E-20 1.59E-20 0.00E+00
 1710.5 3.03E-20 3.03E-20 0.00E+00
 1711.5 2.41E-20 2.41E-20 0.00E+00
 1714.0 1.33E-19 1.33E-19 0.00E+00
 1716.0 5.26E-20 5.26E-20 0.00E+00
 1718.5 1.30E-19 1.30E-19 0.00E+00
 1723.0 2.36E-20 2.36E-20 0.00E+00
 1726.0 4.46E-20 4.46E-20 0.00E+00
 1734.5 1.05E-20 1.05E-20 0.00E+00
 1738.5 1.27E-19 1.27E-19 0.00E+00
 1742.5 2.25E-20 2.25E-20 0.00E+00
 1744.0 9.19E-20 9.19E-20 0.00E+00
 1751.5 1.00E-20 1.00E-20 0.00E+00
