N2+ + C3H8									

CHECKED	PP
REF_ALPHA	Dutuit2013
REF_BR	Dutuit2013	
									
ALPHA	Logn	1.3e-9	1.3						
									
BR	Dirg								
C3H5+ + N2 + H2 + H	0.13/0.05								
C2H5+ + N2 + CH3	0.30/0.10								
C2H4+ + N2 + CH4	0.17/0.06							
C2H3+ + N2 + CH4 + H	0.40/0.13								
