N2+ + CH3NH2			
			
CHECKED	PP		
REF_ALPHA	Jackson2005	Vuitton2007	
REF_BR	Jackson2005	Vuitton2007	
			
ALPHA	Logn	1.22e-9	1.3
			
BR	Dirg		
CH3NH2+ + N2	0.05/0.05		
CH2NH2+ + N2 + H	0.67/0.07		
CH2NH+ + N2 + H2	0.21/0.07		
CH3+ + N2 + NH2	0.07/0.07		
