O+ + H2CO								

CHECKED	PP
REF_ALPHA	Anicich1993							
ALPHA	Logn	3.5e-9	1.3						

REF_BR	Anicich1993									
BR	Dirg									
HCO+ + OH	0.40/0.04									
H2CO+ + O3P	0.60/0.04									
