CH2CHCN+ + CH4			
			
CHECKED	PP		
REF_ALPHA	McEwan2007		
REF_BR	McEwan2007		
			
ALPHA	Logn	2.6e-11	1.3
			
BR	Dirg		
CH3CN+ + C2H4	0.70/0.07		
CH2CHCNH+ + CH3	0.25/0.08		
C4H6N+ + H	0.05/0.05		
