0 4.41538461538462e-21
1 1.34782608695652e-19
2 4e-19
3 1e-18
4 7e-20
5 2e-19
6 2.88888888888889e-19
7 4e-19
8 7.57142857142857e-19
9 1.1e-18
10 1.43e-18
11 1.78e-18
12 2.18e-18
13 2.58e-18
14 3e-18
15 3.45e-18
16 3.88e-18
17 4.42e-18
18 4.96e-18
19 5.5e-18
20 6.2e-18
21 6.82e-18
22 7.51e-18
23 8.2e-18
24 8.9e-18
25 9.55e-18
26 1e-17
27 1.05e-17
28 1.08e-17
29 1.12e-17
30 1.16e-17
31 1.21e-17
32 1.25210526315789e-17
33 1.29e-17
34 1.32e-17
35 1.36e-17
36 1.4e-17
37 1.46e-17
38 1.49e-17
39 1.55e-17
40 1.61493506493506e-17
41 1.66685714285714e-17
42 1.73e-17
43 1.81982035928144e-17
44 1.89864077669903e-17
45 1.95485714285714e-17
46 2.0120253164557e-17
47 2.04767676767677e-17
48 2.07637168141593e-17
49 2.09e-17
50 2.1e-17
51 2.10495412844037e-17
52 2.12e-17
53 2.13e-17
54 2.16403846153846e-17
55 2.19e-17
56 2.206875e-17
57 2.2287371399177e-17
58 2.26e-17
59 1.8e-17
60 1.92150943396227e-17
61 2.19424242424242e-17
62 1.95217821782178e-17
63 1.88820895522388e-17
64 2.2538028169014e-17
65 2.28638297872341e-17
66 2.23253846153846e-17
67 3.05685714285715e-17
68 2.56691666666667e-17
69 2.20576923076923e-17
70 2.27e-17
71 2.38565217391304e-17
72 2.78340425531915e-17
73 2.97298245614035e-17
74 2.61139240506327e-17
75 2.3885e-17
76 2.69343434343436e-17
77 2.40257425742574e-17
78 2.56887755102038e-17
79 2.52128712871288e-17
80 2.7274509803922e-17
81 3.27972972972968e-17
82 2.36744444444441e-17
83 2.21683673469389e-17
84 2.22653061224488e-17
85 2.52901785714286e-17
86 2.76268817204301e-17
87 3.44789473684208e-17
88 3.92049019607844e-17
89 4.2735714285714e-17
90 4.03319999999993e-17
91 4.43650000000003e-17
92 3.74733606557381e-17
93 2.60576923076923e-17
94 1.66516393442622e-17
95 2.03171666666664e-17
96 1.2554827586207e-17
97 9.64766666666677e-18
98 1.17410937500001e-17
99 1.55416666666669e-18
100 2.03e-18
101 1.245953307393e-18
102 4.61906614785997e-19
103 1.5e-20
104 7.48129675810689e-23
