C3H6+ + C3H6									

CHECKED	PP
REF_ALPHA	McEwan2007							
REF_BR	McEwan2007
									
ALPHA	Logn	1.4e-9	1.15						
									
BR	Dirg								
C3H7+ + C3H5	0.15/0.05								
C4H7+ + C2H5	0.20/0.07								
C4H8+ + C2H4	0.35/0.12								
C5H9+ + CH3	0.30/0.10								
